ticker
^GSPC
AAPL
MSFT
GOOGL
AMZN
NVDA
META
TSLA
BRK-B
LLY
V
UNH
JPM
XOM
WMT
MA
JNJ
PG
AVGO
ORCL
HD
COST
MRK
CVX
ABBV
KO
ADBE
PEP
NFLX
BAC
CRM
ACN
LIN
TMO
MCD
AMD
CSCO
ABT
WFC
DIS
CMCSA
GE
INTU
DHR
VZ
PM
TXN
QCOM
NEE
CAT
HON
